,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
22160,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,4,100,English,irregular,Food,funded,8,0.039
22161,Clothing Sales,female,Dominican Republic,DO,shared,field_partner,24,850,English,monthly,Clothing,funded,14,0.078
22162,Beverages,group,Uganda,UG,shared,field_partner,82,2475,English,irregular,Food,funded,6,0.371
22163,Shoe Sales,female,Colombia,CO,shared,field_partner,8,200,Spanish,monthly,Retail,funded,14,0.009
22164,Motorcycle Transport,female,Philippines,PH,shared,field_partner,12,325,English,irregular,Transportation,funded,11,0.055
22165,Retail,female,Colombia,CO,shared,field_partner,8,1800,Spanish,monthly,Retail,not_funded,27,0.009
22166,Retail,male,Colombia,CO,shared,field_partner,7,575,Spanish,monthly,Retail,not_funded,15,0.009
22167,Crafts,female,Bolivia,BO,not shared,field_partner,55,1500,Spanish,irregular,Arts,funded,6,0.077
22168,Embroidery,female,Pakistan,PK,shared,field_partner,14,500,English,monthly,Arts,funded,14,0.039
22169,Agriculture,male,Ecuador,EC,not shared,field_partner,21,600,Spanish,bullet,Agriculture,funded,8,0.014
22170,Weaving,female,Philippines,PH,shared,field_partner,1,425,English,irregular,Arts,funded,8,0.055
22171,Clothing Sales,female,El Salvador,SV,shared,field_partner,14,1500,Spanish,monthly,Clothing,not_funded,20,0.077
22172,Farming,male,Nigeria,NG,shared,field_partner,10,275,English,bullet,Agriculture,funded,15,0.311
22173,Personal Expenses,female,Indonesia,ID,shared,field_partner,13,525,English,irregular,Personal Use,not_funded,36,0.029
22174,Sewing,female,Tajikistan,TJ,shared,field_partner,9,1000,Russian,monthly,Services,not_funded,14,0.086
22175,Textiles,group,Guatemala,GT,shared,field_partner,23,725,Spanish,monthly,Arts,funded,14,0.067
22176,Transportation,male,Philippines,PH,shared,field_partner,5,125,English,irregular,Transportation,funded,7,0.039
22177,General Store,female,Sierra Leone,SL,shared,field_partner,6,300,English,irregular,Retail,funded,11,0.449
22178,Higher education costs,female,Tajikistan,TJ,shared,field_partner,22,575,Russian,monthly,Education,funded,14,0.033
22179,Poultry,male,El Salvador,SV,shared,field_partner,2,600,Spanish,monthly,Agriculture,not_funded,20,0.077
22180,Farming,group,Cambodia,KH,shared,field_partner,10,375,English,monthly,Agriculture,funded,14,0.097
22181,Fish Selling,female,Philippines,PH,shared,field_partner,1,225,English,irregular,Food,funded,8,0.055
22182,General Store,female,Philippines,PH,shared,field_partner,1,150,English,irregular,Retail,funded,8,0.054
22183,Farming,female,Philippines,PH,shared,field_partner,5,175,English,irregular,Agriculture,funded,13,0.055
22184,Clothing Sales,female,Peru,PE,shared,field_partner,20,550,Spanish,monthly,Clothing,funded,8,0.071
22185,Cafe,female,Kenya,KE,shared,field_partner,10,250,English,irregular,Food,funded,14,0.075
22186,Farming,male,Nigeria,NG,shared,field_partner,3,75,English,bullet,Agriculture,funded,19,0.311
22187,Clothing Sales,male,El Salvador,SV,shared,field_partner,6,500,Spanish,monthly,Clothing,funded,17,0.054
22188,Fruits & Vegetables,female,Ghana,GH,shared,field_partner,44,1475,English,monthly,Food,funded,14,0.058
22189,Clothing Sales,group,Zimbabwe,ZW,not shared,field_partner,73,2000,English,monthly,Clothing,funded,8,0.174
22190,Retail,female,Colombia,CO,not shared,field_partner,9,275,Spanish,monthly,Retail,funded,8,0.005
22191,Food,group,The Democratic Republic of the Congo,CD,shared,field_partner,59,1700,French,irregular,Food,funded,6,0.034
22192,Natural Medicines,female,Philippines,PH,not shared,field_partner,7,200,English,irregular,Health,funded,11,0.093
22193,Beauty Salon,female,Colombia,CO,shared,field_partner,9,900,Spanish,monthly,Services,not_funded,18,0.009
22194,Crafts,female,Nicaragua,NI,not shared,field_partner,13,350,Spanish,irregular,Arts,funded,9,0.161
22195,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,1,125,English,irregular,Food,funded,7,0.039
22196,Poultry,group,Ghana,GH,shared,field_partner,14,850,English,irregular,Agriculture,funded,9,0.058
22197,Grocery Store,group,Nicaragua,NI,shared,field_partner,94,3950,Spanish,monthly,Food,funded,7,0.077
22198,Agriculture,group,Kenya,KE,shared,field_partner,30,900,English,bullet,Agriculture,funded,11,0.223
22199,Personal Housing Expenses,female,El Salvador,SV,shared,field_partner,22,600,Spanish,monthly,Housing,funded,14,0.054
22200,Shoe Sales,male,Nigeria,NG,shared,field_partner,15,675,English,monthly,Retail,funded,10,0.605
22201,Electronics Repair,male,Nicaragua,NI,not shared,field_partner,19,625,Spanish,monthly,Services,funded,14,0.161
22202,Farming,group,Kenya,KE,shared,field_partner,57,1575,English,bullet,Agriculture,funded,11,0.223
22203,Fruits & Vegetables,female,Madagascar,MG,shared,field_partner,20,525,French,monthly,Food,funded,1 Year,0.357
22204,Personal Housing Expenses,male,Bolivia,BO,shared,field_partner,34,1025,English,monthly,Housing,funded,14,0.077
22205,Food Production/Sales,group,Mali,ML,shared,field_partner,16,425,French,irregular,Food,funded,6,0.484
22206,Vehicle,female,Cambodia,KH,not shared,field_partner,18,500,English,monthly,Personal Use,funded,14,0.121
22207,Used Clothing,female,Nigeria,NG,shared,field_partner,26,800,English,monthly,Clothing,funded,10,0.605
22208,Fishing,female,Philippines,PH,not shared,field_partner,1,100,English,irregular,Food,funded,8,0.055
22209,General Store,female,Philippines,PH,shared,field_partner,7,225,English,irregular,Retail,funded,1 Year,0.055
22210,Beauty Salon,female,Kenya,KE,shared,field_partner,11,1275,English,irregular,Services,not_funded,15,0.075
22211,Charcoal Sales,male,Kenya,KE,shared,field_partner,8,300,English,monthly,Retail,funded,11,0.02
22212,Farming,female,Cambodia,KH,not shared,field_partner,5,175,English,irregular,Agriculture,funded,1 Year,0.16
22213,Higher education costs,male,Nicaragua,NI,shared,field_partner,36,1100,Spanish,monthly,Education,funded,20,0.077
22214,Farming,group,Cambodia,KH,shared,field_partner,25,1050,English,monthly,Agriculture,funded,14,0.204
22215,Farming,male,Cambodia,KH,shared,field_partner,39,1175,English,monthly,Agriculture,funded,27,0.16
22216,Farming,male,Ecuador,EC,not shared,field_partner,45,1600,Spanish,bullet,Agriculture,funded,8,0.014
22217,Farming,female,Philippines,PH,shared,field_partner,12,800,English,monthly,Agriculture,funded,7,0.497
22218,Animal Sales,female,Peru,PE,shared,field_partner,23,575,Spanish,monthly,Agriculture,funded,14,0.038
22219,Metal Shop,male,Vietnam,VN,shared,field_partner,37,1325,English,monthly,Manufacturing,funded,26,0.057
22220,General Store,female,Philippines,PH,shared,field_partner,8,225,English,irregular,Retail,funded,8,0.055
22221,Tailoring,female,Kenya,KE,shared,field_partner,14,975,English,monthly,Services,funded,14,0.075
22222,Dairy,female,Tajikistan,TJ,shared,field_partner,21,625,English,monthly,Agriculture,funded,14,0.033
22223,Pigs,female,Philippines,PH,shared,field_partner,20,675,English,irregular,Agriculture,funded,8,0.055
22224,Cloth & Dressmaking Supplies,female,Togo,TG,not shared,field_partner,9,300,French,monthly,Retail,funded,14,0.067
22225,Home Appliances,group,Cambodia,KH,shared,field_partner,14,550,English,monthly,Personal Use,funded,14,0.16
22226,Pigs,female,Cameroon,CM,shared,field_partner,6,200,English,irregular,Agriculture,funded,14,0.167
22227,Farming,group,Cambodia,KH,shared,field_partner,28,1400,English,monthly,Agriculture,funded,14,0.12
22228,Retail,female,Peru,PE,shared,field_partner,13,375,Spanish,monthly,Retail,funded,8,0
22229,Clothing Sales,female,Nicaragua,NI,not shared,field_partner,1,825,Spanish,monthly,Clothing,funded,11,0.077
22230,General Store,female,Philippines,PH,shared,field_partner,16,650,English,irregular,Retail,not_funded,11,0.055
22231,General Store,male,El Salvador,SV,shared,field_partner,7,700,Spanish,monthly,Retail,not_funded,20,0.054
22232,Home Appliances,group,Cambodia,KH,shared,field_partner,1,100,English,monthly,Personal Use,funded,8,0.353
22233,Food Stall,female,Sierra Leone,SL,shared,field_partner,5,125,English,irregular,Food,funded,6,0.319
22234,Personal Expenses,male,Peru,PE,shared,field_partner,10,1300,Spanish,monthly,Personal Use,not_funded,26,0
22235,Restaurant,female,Kenya,KE,shared,field_partner,18,575,English,irregular,Food,funded,14,0.075
22236,Construction,female,Peru,PE,not shared,field_partner,31,825,Spanish,irregular,Construction,funded,6,0
22237,Grocery Store,female,Lebanon,LB,shared,field_partner,25,1025,English,monthly,Food,not_funded,15,0.003
22238,Clothing Sales,female,Nicaragua,NI,not shared,field_partner,13,325,Spanish,monthly,Clothing,funded,9,0.161
22239,Clothing Sales,female,Guatemala,GT,shared,field_partner,13,400,Spanish,monthly,Clothing,funded,14,0.082
22240,Personal Housing Expenses,male,Cambodia,KH,not shared,field_partner,31,1000,English,monthly,Housing,funded,14,0.121
22241,Clothing Sales,group,Ecuador,EC,not shared,field_partner,39,1200,Spanish,irregular,Clothing,funded,6,0.014
22242,General Store,female,Philippines,PH,not shared,field_partner,5,125,English,irregular,Retail,funded,6,0.093
22243,Health,male,Togo,TG,shared,field_partner,17,525,French,monthly,Health,funded,14,0.067
22244,Beverages,female,Nigeria,NG,shared,field_partner,38,1075,English,monthly,Food,funded,10,0.605
22245,Primary/secondary school costs,male,Timor-Leste,TL,not shared,field_partner,3,800,English,monthly,Education,funded,14,0.508
22246,Food Production/Sales,female,Honduras,HN,shared,field_partner,15,425,Spanish,monthly,Food,funded,1 Year,0.073
22247,Beauty Salon,female,Pakistan,PK,shared,field_partner,11,300,English,monthly,Services,funded,13,0.039
22248,Food Production/Sales,female,El Salvador,SV,shared,field_partner,7,500,Spanish,monthly,Food,not_funded,14,0.077
22249,Higher education costs,female,Jordan,JO,shared,field_partner,27,725,English,monthly,Education,funded,18,0.005
22250,Animal Sales,female,Nigeria,NG,not shared,field_partner,30,800,English,monthly,Agriculture,funded,10,0.107
22251,Food Production/Sales,male,Colombia,CO,not shared,field_partner,20,575,Spanish,monthly,Food,funded,14,0.009
22252,Fish Selling,female,Nigeria,NG,not shared,field_partner,21,550,English,monthly,Food,funded,11,0.107
22253,Butcher Shop,female,Peru,PE,shared,field_partner,19,800,Spanish,irregular,Food,funded,6,0.062
22254,General Store,female,El Salvador,SV,not shared,field_partner,19,500,Spanish,monthly,Retail,funded,14,0.054
22255,Food Stall,female,Togo,TG,shared,field_partner,6,200,French,irregular,Food,funded,6,0.067
22256,Crafts,female,Philippines,PH,shared,field_partner,8,200,English,irregular,Arts,funded,8,0.497
22257,Cereals,female,Kenya,KE,shared,field_partner,8,200,English,monthly,Food,funded,14,0.509
22258,Beverages,female,Uganda,UG,shared,field_partner,9,350,English,irregular,Food,funded,8,0.013
22259,Beverages,female,Philippines,PH,shared,field_partner,15,675,English,irregular,Food,funded,8,0.055
22260,General Store,male,Kenya,KE,shared,field_partner,7,975,English,monthly,Retail,not_funded,14,0.02
22261,Clothing,female,Kenya,KE,shared,field_partner,23,600,English,irregular,Clothing,funded,13,0.075
22262,Farming,female,Philippines,PH,shared,field_partner,4,125,English,irregular,Agriculture,funded,13,0.055
22263,Fuel/Firewood,female,Kenya,KE,shared,field_partner,3,75,English,irregular,Retail,funded,7,0.075
22264,Plastics Sales,female,Togo,TG,shared,field_partner,6,150,French,irregular,Retail,funded,8,0.067
22265,Retail,male,Nicaragua,NI,not shared,field_partner,32,1000,Spanish,bullet,Retail,funded,16,0.077
22266,Food,female,Philippines,PH,shared,field_partner,14,375,English,irregular,Food,funded,13,0.055
22267,Retail,group,Nicaragua,NI,shared,field_partner,30,1075,Spanish,irregular,Retail,funded,8,0.161
22268,Farming,female,Kenya,KE,shared,field_partner,14,600,English,monthly,Agriculture,funded,17,0.509
22269,General Store,female,Philippines,PH,shared,field_partner,14,350,English,irregular,Retail,funded,10,0.497
22270,Clothing Sales,group,Uganda,UG,shared,field_partner,14,350,English,irregular,Clothing,funded,8,0.417
22271,Farming,male,Cambodia,KH,shared,field_partner,24,750,English,monthly,Agriculture,funded,20,0.16
22272,Agriculture,group,The Democratic Republic of the Congo,CD,shared,field_partner,11,350,French,monthly,Agriculture,funded,10,0.034
22273,Fruits & Vegetables,male,Kenya,KE,shared,field_partner,7,275,English,irregular,Food,funded,9,0.02
22274,Weaving,group,Guatemala,GT,shared,field_partner,18,525,Spanish,monthly,Arts,funded,8,0.082
22275,Construction Supplies,male,Nicaragua,NI,not shared,field_partner,14,375,Spanish,monthly,Construction,funded,1 Year,0.161
22276,Taxi,male,Bolivia,BO,not shared,field_partner,50,1500,Spanish,monthly,Transportation,funded,27,0.145
22277,Farming,female,Cambodia,KH,not shared,field_partner,31,1100,English,monthly,Agriculture,funded,20,0.16
22278,Fish Selling,female,Philippines,PH,shared,field_partner,4,250,English,irregular,Food,funded,14,0.055
22279,Fish Selling,group,Uganda,UG,shared,field_partner,133,4950,English,irregular,Food,funded,6,0.013
22280,Retail,female,Peru,PE,not shared,field_partner,11,325,Spanish,monthly,Retail,funded,5,0.071
22281,Agriculture,male,El Salvador,SV,shared,field_partner,18,1500,Spanish,bullet,Agriculture,not_funded,15,0.077
22282,Fishing,male,El Salvador,SV,shared,field_partner,21,1000,Spanish,monthly,Food,not_funded,26,0.054
22283,Food Market,group,Ghana,GH,shared,field_partner,20,550,English,irregular,Food,funded,7,0.058
22284,Animal Sales,female,Peru,PE,shared,field_partner,1,200,Spanish,monthly,Agriculture,funded,1 Year,0.089
22285,Livestock,male,El Salvador,SV,shared,field_partner,28,800,Spanish,irregular,Agriculture,funded,26,0.054
22286,Livestock,male,Tajikistan,TJ,not shared,field_partner,34,1300,English,monthly,Agriculture,funded,20,0.021
22287,Charcoal Sales,group,Burkina Faso,BF,shared,field_partner,30,1075,French,irregular,Retail,funded,6,0.459
22288,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,26,1200,English,monthly,Housing,not_funded,26,0.16
22289,Personal Expenses,male,Tajikistan,TJ,shared,field_partner,7,400,Russian,monthly,Personal Use,not_funded,20,0.033
22290,General Store,group,Nicaragua,NI,not shared,field_partner,31,975,Spanish,irregular,Retail,funded,8,0.161
22291,Food,female,Colombia,CO,shared,field_partner,12,1125,Spanish,bullet,Food,not_funded,26,0.005
22292,Religious Articles,female,Peru,PE,not shared,field_partner,12,300,Spanish,monthly,Retail,funded,5,0.071
22293,Sewing,female,Colombia,CO,shared,field_partner,36,1050,Spanish,bullet,Services,funded,27,0.005
22294,Construction Supplies,female,Vietnam,VN,not shared,field_partner,16,425,English,irregular,Construction,funded,14,0.013
22295,Clothing Sales,female,Colombia,CO,not shared,field_partner,30,800,Spanish,monthly,Clothing,funded,15,0.009
22296,Personal Housing Expenses,female,Indonesia,ID,shared,field_partner,12,325,English,irregular,Housing,funded,37,0.029
22297,Shoe Sales,male,Uganda,UG,shared,field_partner,22,850,English,monthly,Retail,funded,14,0.013
22298,Farming,group,Cambodia,KH,shared,field_partner,25,750,English,monthly,Agriculture,funded,20,0.274
22299,Health,male,Tajikistan,TJ,shared,field_partner,32,5000,Russian,monthly,Health,not_funded,38,0.033
22300,Food,male,Nicaragua,NI,shared,field_partner,15,425,Spanish,monthly,Food,funded,1 Year,0.077
22301,Fruits & Vegetables,group,Burkina Faso,BF,shared,field_partner,38,950,French,monthly,Food,funded,8,0.554
22302,Primary/secondary school costs,male,Peru,PE,shared,field_partner,31,1100,Spanish,monthly,Education,funded,15,0.071
22303,Office Supplies,female,Kenya,KE,shared,field_partner,5,1225,English,irregular,Retail,funded,17,0.075
22304,Personal Housing Expenses,male,Cambodia,KH,shared,field_partner,37,1000,English,monthly,Housing,funded,26,0.12
22305,Cattle,male,El Salvador,SV,shared,field_partner,12,1000,Spanish,bullet,Agriculture,not_funded,14,0.077
22306,Butcher Shop,male,Peru,PE,shared,field_partner,17,900,Spanish,monthly,Food,not_funded,15,0.05
22307,Home Appliances,group,Cambodia,KH,shared,field_partner,8,200,English,monthly,Personal Use,funded,8,0.353
22308,Fuel/Firewood,female,Nicaragua,NI,not shared,field_partner,11,300,Spanish,irregular,Retail,funded,17,0.161
22309,Farming,male,Philippines,PH,shared,field_partner,4,125,English,irregular,Agriculture,funded,7,0.055
22310,Higher education costs,male,Mongolia,MN,shared,field_partner,69,1825,English,monthly,Education,funded,21,0.006
22311,Fish Selling,group,The Democratic Republic of the Congo,CD,shared,field_partner,133,5000,French,irregular,Food,funded,6,0.034
22312,Personal Housing Expenses,female,Cambodia,KH,not shared,field_partner,27,700,English,monthly,Housing,funded,20,0.16
22313,Agriculture,female,El Salvador,SV,shared,field_partner,8,300,Spanish,monthly,Agriculture,funded,14,0.201
22314,Agriculture,female,Honduras,HN,shared,field_partner,14,500,Spanish,irregular,Agriculture,funded,14,0.077
